1,1272.7,1275.0,740.7,1295,2.41
2,1270.0,1271.8,736.2,1345,2.3
6,1269.5,1271.3,739.5,1440,2.4

0,0,0,0,0,0

3.5,1274.7,1277.5,746.4,1502,2.7
3.5,1276,1277.5,745.2,1475,2.7
3.5,1275.5,1276.7,749.2,1430,2.8

0,0,0,0,0,0


4,1281.2,1281.8,755.2,1703,3.0
4,1282.1,1283,755.4,1638,3.0
4,1285.4,1286.3,758.6,1600,3.3

0,0,0,0,0,0

4.5,1290.4,1290.7,765.1,1700,3.3
4.5,1289.6,1290.3,766.1,1762,3.3
4.5,1289.4,1290,765.6,1758,3.3

0,0,0,0,0,0

5,1297.8,1298,771.5,1696,3.6
5,1295.7,1296.3,769.6,1704,3.3
5,1294.6,1295.1,771.0,1745,3.7

0,0,0,0,0,0

5.5,1297.1,1297.1,770.3,1344,3.8
5.5,1300.5,1300.8,771.3,1623,4.1
5.5,1297.1,1297.5,767.6,1705,4.1

0,0,0,0,0,0



